filename,extension,file_size_bytes,status_category,target_bucket,target_storage_path,reference_locations,notes
S.Abdul-BaseedTreasurer-1014x1024.jpg,.jpg,71759,ACTIVELY REFERENCED,yuvatejam-media,images/S.Abdul-BaseedTreasurer-1014x1024.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
StaticClient.php,.php,4647,LEGACY / SKIP,SKIP,SKIP,N/A,Legacy non-media file (PHP/JS/CSS/TXT script dump)
Trust-Mai-Logo1-150x150.jpg,.jpg,8314,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/Trust-Mai-Logo1-150x150.jpg,None,Unreferenced image file in public/images
Trust-Mai-Logo1-300x157.jpg,.jpg,12564,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/Trust-Mai-Logo1-300x157.jpg,None,Unreferenced image file in public/images
Trust-Mai-Logo1.jpg,.jpg,30235,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/Trust-Mai-Logo1.jpg,None,Unreferenced image file in public/images
Uma-akka-150x150.jpg,.jpg,7123,ACTIVELY REFERENCED,yuvatejam-media,images/Uma-akka-150x150.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
Untitled-960-x-1440-px-150x150.jpg,.jpg,8896,ACTIVELY REFERENCED,yuvatejam-media,images/Untitled-960-x-1440-px-150x150.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-1-150x150.jpg,.jpg,4614,ACTIVELY REFERENCED,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-1-150x150.jpg,lib\data\pages-data.ts,Referenced in 1 source file(s)
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-1-225x300.jpg,.jpg,12085,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-1-225x300.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-1-768x1024.jpg,.jpg,114767,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-1-768x1024.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-1.jpg,.jpg,145218,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-1.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-150x150.jpg,.jpg,4614,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-150x150.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-225x300.jpg,.jpg,12085,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-225x300.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-768x1024.jpg,.jpg,114767,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-768x1024.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353-150x150.jpg,.jpg,4694,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353-150x150.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353-218x300.jpg,.jpg,11806,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353-218x300.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353-743x1024.jpg,.jpg,110497,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353-743x1024.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353-768x1059.jpg,.jpg,117340,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353-768x1059.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353.jpg,.jpg,150847,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7-e1730005890353.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7.jpg,.jpg,145218,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.39.08_110f16d7.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.56.28_a692fff5-150x150.jpg,.jpg,4151,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.56.28_a692fff5-150x150.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.56.28_a692fff5-225x300.jpg,.jpg,9354,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.56.28_a692fff5-225x300.jpg,None,Unreferenced image file in public/images
WhatsApp-Image-2024-10-27-at-10.56.28_a692fff5-768x1024.jpg,.jpg,73796,NOT FOUND IN CODE REFERENCES,yuvatejam-media,images/WhatsApp-Image-2024-10-27-at-10.56.28_a692fff5-768x1024.jpg,None,Unreferenced image file in public/images
